CountyName,datetime_local,date_str,hour_str,local_hour,index,cloud_coverage,n_points
San Benito,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0156794425087108,574
San Bernardino,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.4174496644295302,8195
San Diego,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.9944629014396457,1806
San Francisco,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.9523809523809523,21
San Joaquin,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.03327495621716287,571
San Luis Obispo,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.09777138749101366,1391
San Mateo,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.32275132275132273,189
Santa Barbara,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.23351648351648352,1092
Santa Clara,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.11509433962264151,530
Santa Cruz,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.22702702702702704,185
Shasta,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.14986187845303867,1448
Sierra,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.06914893617021277,376
Siskiyou,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.230999146029035,2342
Solano,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.14857142857142858,350
Sonoma,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.3333333333333333,639
Stanislaus,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,611
Sutter,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.14522821576763487,241
Tehama,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.006183745583038869,1132
Trinity,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.1119281045751634,1224
Tulare,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0005076142131979696,1970
Tuolumne,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,898
Ventura,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.3042362002567394,779
Yolo,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.10319410319410319,407
Yuba,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.004016064257028112,249
Alameda,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.28807947019867547,302
Alpine,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.0,289
Amador,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.00425531914893617,235
Butte,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.0,647
Calaveras,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.0024096385542168677,415
Colusa,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.0598669623059867,451
Contra Costa,2025-11-03T05:00,"Nov 03, 2025",5 AM,5,5,0.06885245901639345,305
